epoch,classification_loss,loss,mAP,regression_loss,val_classification_loss,val_loss,val_regression_loss
0,1.012107611,3.681132793,0.072333895,2.669023752,0.821599603,3.409514666,2.587914228
1,0.773551166,3.368983269,0.185615544,2.59543252,0.684734881,3.144377708,2.459642887
2,1.034404397,3.40690279,0.192477301,2.372499704,1.107977152,3.439277411,2.331300974
3,1.100084424,3.438345432,0.292477301,2.338260889,1.085035563,3.353907108,2.268870354
4,0.796215892,2.920275211,0.492477301,2.124058962,0.523645222,2.693813086,2.1701684
5,0.496094465,2.461748838,0.515401422,1.965654016,0.504967511,2.449205399,1.944238186
6,0.611963868,2.611317635,0.452158245,1.999353051,0.519771576,2.491387844,1.971615314
7,1.036400318,2.938102961,0.45008245,1.901702285,1.064444065,2.879199505,1.814755678
8,0.84723711,2.696583748,0.450853364,1.849346757,0.500218689,2.356960535,1.856742501
9,0.759974957,2.521790028,0.652179003,1.76181519,1.066583276,2.865038872,1.798456073
10,1.058837533,2.759605408,0.759605408,1.700768709,1.054212451,2.736075163,1.681862473
11,1.046934247,2.75103116,0.75103116,1.704097033,1.041364193,2.766114712,1.7247504
12,1.033531308,2.676563025,0.876563025,1.643031597,1.022255063,2.609307766,1.587053061
13,0.881431758,2.488415003,0.881763392,1.606982708,0.424004823,2.04883194,1.624827385
14,0.444988906,2.049276352,0.898898,1.604287386,1.198730588,2.822765112,1.624034166
15,1.020380497,2.505604029,0.905604029,1.485224128,1.008416176,2.594958544,1.586541891
16,0.99976939,2.514975309,0.914975309,1.515206456,0.982269645,2.636326075,1.654056907
17,0.766236067,2.194209337,0.935776438,1.427973032,0.753436565,2.213440895,1.460003972
18,0.421434402,1.910910964,0.942132547,1.4894768,0.41462642,2.067527771,1.652901292
19,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
20,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
21,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
22,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
23,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
24,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
25,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
26,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
27,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
28,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
29,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
30,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
31,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
32,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
33,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
34,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
35,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
36,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
37,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
38,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
39,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
40,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
41,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
42,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
43,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
44,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
45,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
46,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
47,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
48,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
49,0.443633884,1.97090435,0.953608205,1.527270079,0.364182025,1.73167944,1.367497444
