epoch,classification_loss,loss,mAP,regression_loss,val_classification_loss,val_loss,val_regression_loss
0,0.96407485,3.513692617,0.114535321,2.549616098,0.836078048,3.218734503,2.382655621
1,0.947183371,3.126978874,0.266295594,2.179795742,1.062718749,3.068947077,2.006228924
2,0.846970141,2.846182823,0.366295594,1.99921298,0.449413568,2.234521389,1.785108447
3,0.544632316,2.329590797,0.498295546,1.784959316,0.456176162,2.186455727,1.730279922
4,0.409843355,2.040225267,0.673333034,1.630380392,0.406314462,2.082698584,1.676383853
5,0.34463203,1.884881616,0.728795353,1.540249348,0.312045723,1.782654881,1.470608711
6,0.330507576,1.808917999,0.760574139,1.478411913,0.314407021,1.75639987,1.44199264
7,0.313803971,1.728955507,0.763694013,1.415150762,0.302574486,1.769110084,1.466535807
8,0.279985815,1.616716266,0.781937387,1.336732149,0.263179004,1.749956608,1.486777186
9,0.28418842,1.605874062,0.779666245,1.321686387,0.240896285,1.489713192,1.248816967
10,0.286773562,1.529166102,0.781744507,1.242391825,0.260066897,1.5294379,1.269370914
11,0.254064679,1.479628086,0.799977309,1.225563765,0.245034069,1.616488814,1.371454835
12,0.247491539,1.479923606,0.810603107,1.232432127,0.238555253,1.490390658,1.251835823
13,0.242766663,1.44152391,0.816235657,1.198757529,0.318712622,1.548984051,1.230271459
14,0.229976475,1.344516754,0.798064851,1.114540577,0.249620706,1.462350011,1.212729096
15,0.232752994,1.350337625,0.82383345,1.117584825,0.232850984,1.450073123,1.217222214
16,0.223502412,1.318361044,0.814483597,1.09485805,0.214080125,1.372233987,1.158154607
17,0.210015297,1.273805618,0.833779126,1.063789845,0.211576104,1.346539259,1.134963036
18,0.22076945,1.297124386,0.838064231,1.076354742,0.215614557,1.360256195,1.144641757
19,0.2125213,1.269293785,0.833893656,1.056771755,0.215704054,1.274412632,1.058708906
20,0.20100306,1.187517524,0.857973296,0.986514568,0.200680941,1.261815429,1.061134696
21,0.199442431,1.174017072,0.851340797,0.974574566,0.21190685,1.290679097,1.078772426
22,0.199034631,1.197888613,0.858769135,0.998854399,0.194295824,1.274962783,1.080667257
23,0.211074844,1.179055214,0.849171838,0.967979431,0.242671862,1.331219435,1.088547468
24,0.193573132,1.139722943,0.834221098,0.946150005,0.211929262,1.377420425,1.165490746
25,0.193234563,1.149779439,0.847016248,0.95654434,0.215511009,1.305279613,1.089768529
26,0.167937964,1.057451487,0.851791663,0.889512837,0.199464142,1.27092731,1.071462393
27,0.16576454,0.995701969,0.859327332,0.829937577,0.195788771,1.217215896,1.021427631
28,0.176431507,1.050505042,0.854993607,0.874073744,0.192783087,1.207210779,1.014427423
29,0.162818953,0.992516458,0.862589914,0.829697192,0.190957665,1.161439419,0.970481336
30,0.167410582,0.993297577,0.864130888,0.825887084,0.188252553,1.163349152,0.975096703
31,0.165106758,0.981186628,0.857287283,0.816079795,0.190651432,1.207437754,1.016787052
32,0.156770512,0.962940216,0.858101825,0.806169271,0.191148549,1.2176615,1.026512623
33,0.161898494,0.975822985,0.86802442,0.813925028,0.189126506,1.159776807,0.970650077
34,0.172742859,1.01273036,0.857441064,0.839987516,0.190042809,1.191315174,1.001271963
35,0.173957676,0.967255175,0.862674503,0.793296635,0.187232733,1.164536119,0.977303505
36,0.156087726,0.94705987,0.857083797,0.79097259,0.190798953,1.151710272,0.960911214
37,0.160256401,0.981127799,0.861686506,0.820871115,0.188853413,1.184271812,0.99541831
38,0.166141495,0.997331262,0.860933049,0.831190288,0.18802993,1.184491396,0.996462166
39,0.184908062,1.006179094,0.863598197,0.821271896,0.188696325,1.206692338,1.017996073
40,0.168172985,0.961504579,0.862930123,0.793331444,0.191148549,1.190292239,0.99914366
41,0.167243361,0.973342121,0.863912608,0.806098998,0.18794623,1.166139007,0.978192627
42,0.152592078,0.898528516,0.863775809,0.745936632,0.188110605,1.169034243,0.980923891
43,0.170122445,0.990273535,0.863365448,0.820151746,0.188474566,1.176147223,0.987672925
44,0.165430412,0.946039736,0.863307135,0.780609369,0.188774407,1.174774051,0.985999823
45,0.155909523,0.914155781,0.864239383,0.758246064,0.188708037,1.164474607,0.975766778
46,0.168096349,0.959126234,0.86376468,0.791029572,0.188567147,1.166744471,0.978177369
47,0.167137772,0.955490887,0.863624388,0.78835386,0.188538641,1.165970087,0.977431297
48,0.160288379,0.917705774,0.863726424,0.757417917,0.188560635,1.166205645,0.977645278
49,0.156322375,0.919249296,0.863753985,0.762926936,0.188470334,1.165575624,0.977105737
